crew_id,name,designation,experience_years,home_depot,certified_routes,on_leave,weekly_hours,max_hours_per_shift,shift_type
CR-001,Crew Member 1,Technician,4,Miyapur,"Green Line,Red Line",False,41,8,Day
CR-002,Crew Member 2,Co-Driver,1,Miyapur,Green Line,False,40,8,Night
CR-003,Crew Member 3,Technician,8,Miyapur,"Red Line,Green Line",False,44,8,Evening
CR-004,Crew Member 4,Driver,1,Uppal,Blue Line,True,0,8,Evening
CR-005,Crew Member 5,Driver,18,Uppal,"Green Line,Red Line,Blue Line",False,47,8,Night
CR-006,Crew Member 6,Co-Driver,3,JBS,Green Line,False,45,8,Night
CR-007,Crew Member 7,Driver,3,Miyapur,Red Line,False,41,8,Evening
CR-008,Crew Member 8,Guard,3,Uppal,Red Line,False,45,8,Night
CR-009,Crew Member 9,Technician,19,Miyapur,"Green Line,Red Line,Blue Line",False,42,8,Evening
CR-010,Crew Member 10,Co-Driver,3,JBS,Red Line,False,45,8,Day
CR-011,Crew Member 11,Technician,15,Uppal,"Green Line,Blue Line,Red Line",True,0,8,Evening
CR-012,Crew Member 12,Technician,19,Uppal,"Red Line,Blue Line,Green Line",False,42,8,Evening
CR-013,Crew Member 13,Co-Driver,1,JBS,Red Line,False,40,8,Night
CR-014,Crew Member 14,Technician,3,Uppal,Blue Line,False,46,8,Night
CR-015,Crew Member 15,Guard,3,Miyapur,Green Line,False,41,8,Night
CR-016,Crew Member 16,Driver,6,Miyapur,"Green Line,Red Line",False,44,8,Night
CR-017,Crew Member 17,Co-Driver,3,JBS,Blue Line,False,42,8,Night
CR-018,Crew Member 18,Guard,17,Miyapur,"Red Line,Green Line,Blue Line",False,47,8,Day
CR-019,Crew Member 19,Driver,3,Miyapur,Blue Line,True,0,8,Night
CR-020,Crew Member 20,Co-Driver,5,JBS,"Green Line,Blue Line",False,48,8,Night
CR-021,Crew Member 21,Driver,5,Uppal,"Blue Line,Green Line",False,45,8,Day
CR-022,Crew Member 22,Co-Driver,2,Miyapur,Green Line,False,43,8,Day
CR-023,Crew Member 23,Driver,3,Miyapur,Blue Line,False,40,8,Night
CR-024,Crew Member 24,Technician,3,Uppal,Green Line,False,42,8,Day
CR-025,Crew Member 25,Guard,7,Miyapur,Blue Line,True,0,8,Evening
CR-026,Crew Member 26,Co-Driver,4,Miyapur,Red Line,False,45,8,Day
CR-027,Crew Member 27,Co-Driver,2,Miyapur,Blue Line,False,44,8,Day
CR-028,Crew Member 28,Driver,8,Miyapur,Red Line,False,48,8,Day
CR-029,Crew Member 29,Co-Driver,2,Uppal,Red Line,False,46,8,Evening
CR-030,Crew Member 30,Technician,2,Uppal,Blue Line,False,47,8,Night
CR-031,Crew Member 31,Driver,17,JBS,"Red Line,Blue Line,Green Line",False,42,8,Night
CR-032,Crew Member 32,Driver,4,Miyapur,"Blue Line,Red Line",True,0,8,Night
CR-033,Crew Member 33,Driver,1,Miyapur,Blue Line,False,43,8,Night
CR-034,Crew Member 34,Guard,3,Miyapur,Green Line,False,46,8,Evening
CR-035,Crew Member 35,Guard,3,Uppal,Red Line,False,46,8,Evening
CR-036,Crew Member 36,Co-Driver,4,Uppal,Red Line,False,41,8,Night
