Date,Train_ID,Kilometers_Run,Issues_Reported
2026-05-06,HMRL-50,687,0
2026-05-06,HMRL-53,666,0
2026-05-06,HMRL-11,637,0
2026-05-06,HMRL-20,619,0
2026-05-06,HMRL-07,687,0
2026-05-06,HMRL-38,582,0
2026-05-06,HMRL-02,522,0
2026-05-06,HMRL-57,615,0
2026-05-06,HMRL-37,618,0
2026-05-06,HMRL-44,671,0
2026-05-06,HMRL-25,507,0
2026-05-06,HMRL-26,583,0
2026-05-06,HMRL-46,554,0
2026-05-06,HMRL-13,566,0
2026-05-06,HMRL-05,652,0
2026-05-06,HMRL-55,570,0
2026-05-06,HMRL-41,632,0
2026-05-06,HMRL-16,521,0
2026-05-06,HMRL-56,604,0
2026-05-06,HMRL-59,694,0
2026-05-06,HMRL-39,621,0
2026-05-06,HMRL-08,625,0
2026-05-06,HMRL-52,504,0
2026-05-06,HMRL-03,677,0
2026-05-06,HMRL-23,669,0
2026-05-06,HMRL-35,621,0
2026-05-06,HMRL-28,588,0
2026-05-06,HMRL-24,690,0
2026-05-06,HMRL-48,590,0
2026-05-06,HMRL-17,569,0
2026-05-06,HMRL-21,559,0
2026-05-06,HMRL-58,549,0
2026-05-06,HMRL-01,690,0
2026-05-06,HMRL-14,695,0
2026-05-06,HMRL-43,549,0
2026-05-06,HMRL-04,623,0
2026-05-06,HMRL-27,650,0
2026-05-06,HMRL-12,634,0
2026-05-06,HMRL-30,525,0
2026-05-06,HMRL-15,575,0
2026-05-06,HMRL-32,545,0
2026-05-06,HMRL-33,681,0
2026-05-06,HMRL-06,570,0
2026-05-05,HMRL-45,658,3
2026-05-05,HMRL-09,525,0
2026-05-05,HMRL-41,553,0
2026-05-05,HMRL-56,567,0
2026-05-05,HMRL-49,540,0
2026-05-05,HMRL-32,641,0
2026-05-05,HMRL-07,615,0
2026-05-05,HMRL-01,620,0
2026-05-05,HMRL-37,559,0
2026-05-05,HMRL-19,572,0
2026-05-05,HMRL-31,616,0
2026-05-05,HMRL-50,567,0
2026-05-05,HMRL-29,660,0
2026-05-05,HMRL-22,550,0
2026-05-05,HMRL-12,639,0
2026-05-05,HMRL-04,538,0
2026-05-05,HMRL-17,536,0
2026-05-05,HMRL-57,578,0
2026-05-05,HMRL-08,645,0
2026-05-05,HMRL-05,612,0
2026-05-05,HMRL-26,676,0
2026-05-05,HMRL-55,603,0
2026-05-05,HMRL-58,628,0
2026-05-05,HMRL-52,612,0
2026-05-05,HMRL-60,610,0
2026-05-05,HMRL-10,654,0
2026-05-05,HMRL-35,523,0
2026-05-05,HMRL-20,672,0
2026-05-05,HMRL-06,647,0
2026-05-05,HMRL-42,505,0
2026-05-05,HMRL-36,672,0
2026-05-05,HMRL-18,647,1
2026-05-05,HMRL-25,620,0
2026-05-05,HMRL-14,613,0
2026-05-05,HMRL-33,546,0
2026-05-05,HMRL-40,611,0
2026-05-05,HMRL-28,625,0
2026-05-05,HMRL-43,620,0
2026-05-05,HMRL-44,585,0
2026-05-05,HMRL-13,526,0
2026-05-05,HMRL-15,584,0
2026-05-05,HMRL-24,626,0
2026-05-05,HMRL-34,602,0
2026-05-05,HMRL-27,640,0
2026-05-05,HMRL-48,564,0
2026-05-05,HMRL-16,697,0
2026-05-04,HMRL-53,598,0
2026-05-04,HMRL-01,653,0
2026-05-04,HMRL-43,534,0
2026-05-04,HMRL-56,570,0
2026-05-04,HMRL-35,606,0
2026-05-04,HMRL-30,629,0
2026-05-04,HMRL-27,500,0
2026-05-04,HMRL-04,576,0
2026-05-04,HMRL-13,648,0
2026-05-04,HMRL-34,625,0
2026-05-04,HMRL-24,614,0
2026-05-04,HMRL-40,588,0
2026-05-04,HMRL-32,695,0
2026-05-04,HMRL-41,616,0
2026-05-04,HMRL-29,548,0
2026-05-04,HMRL-60,561,0
2026-05-04,HMRL-14,559,0
2026-05-04,HMRL-18,605,1
2026-05-04,HMRL-36,680,0
2026-05-04,HMRL-09,597,0
2026-05-04,HMRL-19,669,0
2026-05-04,HMRL-46,666,0
2026-05-04,HMRL-48,626,0
2026-05-04,HMRL-08,532,0
2026-05-04,HMRL-02,651,0
2026-05-04,HMRL-16,525,0
2026-05-04,HMRL-11,612,2
2026-05-04,HMRL-20,503,0
2026-05-04,HMRL-59,604,0
2026-05-04,HMRL-58,539,1
2026-05-04,HMRL-44,567,0
2026-05-04,HMRL-03,677,0
2026-05-04,HMRL-37,520,0
2026-05-04,HMRL-54,672,0
2026-05-04,HMRL-45,597,0
2026-05-04,HMRL-15,660,0
2026-05-04,HMRL-26,694,0
2026-05-04,HMRL-21,638,0
2026-05-04,HMRL-05,661,0
2026-05-04,HMRL-57,573,0
2026-05-04,HMRL-10,691,3
2026-05-04,HMRL-17,694,0
2026-05-04,HMRL-47,525,0
2026-05-04,HMRL-55,677,0
2026-05-04,HMRL-23,507,1
2026-05-04,HMRL-28,575,0
2026-05-04,HMRL-50,610,0
2026-05-04,HMRL-25,635,0
2026-05-04,HMRL-31,674,0
2026-05-04,HMRL-39,543,0
2026-05-03,HMRL-40,427,0
2026-05-03,HMRL-44,373,0
2026-05-03,HMRL-16,358,0
2026-05-03,HMRL-32,390,0
2026-05-03,HMRL-38,348,0
2026-05-03,HMRL-10,473,0
2026-05-03,HMRL-15,496,0
2026-05-03,HMRL-30,335,0
2026-05-03,HMRL-41,460,0
2026-05-03,HMRL-17,379,0
2026-05-03,HMRL-53,308,0
2026-05-03,HMRL-51,487,0
2026-05-03,HMRL-43,375,0
2026-05-03,HMRL-01,406,0
2026-05-03,HMRL-50,333,0
2026-05-03,HMRL-19,393,0
2026-05-03,HMRL-59,369,0
2026-05-03,HMRL-35,365,0
2026-05-03,HMRL-11,423,0
2026-05-03,HMRL-05,375,0
2026-05-03,HMRL-29,386,0
2026-05-03,HMRL-23,419,0
2026-05-03,HMRL-56,336,0
2026-05-03,HMRL-20,357,0
2026-05-03,HMRL-28,485,0
2026-05-03,HMRL-49,401,0
2026-05-03,HMRL-46,442,0
2026-05-03,HMRL-37,401,0
2026-05-03,HMRL-13,416,0
2026-05-03,HMRL-57,491,0
2026-05-03,HMRL-36,449,0
2026-05-03,HMRL-58,463,0
2026-05-03,HMRL-04,327,0
2026-05-03,HMRL-08,420,2
2026-05-03,HMRL-31,443,0
2026-05-03,HMRL-45,456,0
2026-05-03,HMRL-12,316,0
2026-05-03,HMRL-25,418,0
2026-05-03,HMRL-55,377,0
2026-05-03,HMRL-22,329,0
2026-05-03,HMRL-47,309,0
2026-05-03,HMRL-26,426,0
2026-05-03,HMRL-09,360,0
2026-05-03,HMRL-33,334,0
2026-05-03,HMRL-02,394,0
2026-05-03,HMRL-54,490,0
2026-05-03,HMRL-21,438,0
2026-05-03,HMRL-24,490,0
2026-05-02,HMRL-42,370,0
2026-05-02,HMRL-07,337,0
2026-05-02,HMRL-54,438,0
2026-05-02,HMRL-32,344,1
2026-05-02,HMRL-40,333,1
2026-05-02,HMRL-27,360,0
2026-05-02,HMRL-18,304,0
2026-05-02,HMRL-03,313,0
2026-05-02,HMRL-45,407,0
2026-05-02,HMRL-24,490,0
2026-05-02,HMRL-14,392,0
2026-05-02,HMRL-29,327,0
2026-05-02,HMRL-49,356,0
2026-05-02,HMRL-16,311,0
2026-05-02,HMRL-51,468,0
2026-05-02,HMRL-59,417,0
2026-05-02,HMRL-44,307,0
2026-05-02,HMRL-46,402,0
2026-05-02,HMRL-35,327,0
2026-05-02,HMRL-23,413,0
2026-05-02,HMRL-04,455,0
2026-05-02,HMRL-26,332,0
2026-05-02,HMRL-58,462,0
2026-05-02,HMRL-13,482,0
2026-05-02,HMRL-08,452,0
2026-05-02,HMRL-30,416,0
2026-05-02,HMRL-06,410,1
2026-05-02,HMRL-50,467,0
2026-05-02,HMRL-02,496,0
2026-05-02,HMRL-57,355,0
2026-05-02,HMRL-39,358,0
2026-05-02,HMRL-11,416,0
2026-05-02,HMRL-36,486,0
2026-05-02,HMRL-05,470,0
2026-05-02,HMRL-60,339,0
2026-05-02,HMRL-19,421,1
2026-05-02,HMRL-52,323,0
2026-05-02,HMRL-53,490,0
2026-05-02,HMRL-38,333,0
2026-05-02,HMRL-43,450,0
2026-05-02,HMRL-25,443,0
2026-05-02,HMRL-21,331,0
2026-05-02,HMRL-28,470,0
2026-05-02,HMRL-48,408,0
2026-05-02,HMRL-55,484,0
2026-05-02,HMRL-37,379,0
2026-05-02,HMRL-10,447,0
2026-05-02,HMRL-01,339,0
2026-05-01,HMRL-55,587,0
2026-05-01,HMRL-07,579,0
2026-05-01,HMRL-23,698,0
2026-05-01,HMRL-60,652,0
2026-05-01,HMRL-36,540,0
2026-05-01,HMRL-24,512,0
2026-05-01,HMRL-08,569,0
2026-05-01,HMRL-49,608,0
2026-05-01,HMRL-18,613,0
2026-05-01,HMRL-37,555,0
2026-05-01,HMRL-15,529,0
2026-05-01,HMRL-28,528,0
2026-05-01,HMRL-56,673,0
2026-05-01,HMRL-40,634,0
2026-05-01,HMRL-47,511,0
2026-05-01,HMRL-44,653,0
2026-05-01,HMRL-42,554,0
2026-05-01,HMRL-48,695,0
2026-05-01,HMRL-02,583,0
2026-05-01,HMRL-39,627,0
2026-05-01,HMRL-52,544,0
2026-05-01,HMRL-45,636,0
2026-05-01,HMRL-12,628,0
2026-05-01,HMRL-46,671,0
2026-05-01,HMRL-20,518,0
2026-05-01,HMRL-22,689,0
2026-05-01,HMRL-58,519,0
2026-05-01,HMRL-01,647,0
2026-05-01,HMRL-38,603,0
2026-05-01,HMRL-53,606,0
2026-05-01,HMRL-05,603,0
2026-05-01,HMRL-19,658,0
2026-05-01,HMRL-35,676,0
2026-05-01,HMRL-13,522,0
2026-05-01,HMRL-03,527,0
2026-05-01,HMRL-30,650,0
2026-05-01,HMRL-57,520,0
2026-05-01,HMRL-21,579,0
2026-05-01,HMRL-33,556,0
2026-05-01,HMRL-26,543,0
2026-05-01,HMRL-17,635,0
2026-05-01,HMRL-59,698,0
2026-05-01,HMRL-27,686,0
2026-05-01,HMRL-14,665,0
2026-05-01,HMRL-50,560,0
2026-04-30,HMRL-39,598,0
2026-04-30,HMRL-10,641,0
2026-04-30,HMRL-49,689,0
2026-04-30,HMRL-58,615,0
2026-04-30,HMRL-42,646,0
2026-04-30,HMRL-05,582,0
2026-04-30,HMRL-12,628,0
2026-04-30,HMRL-50,515,0
2026-04-30,HMRL-41,587,0
2026-04-30,HMRL-32,521,0
2026-04-30,HMRL-30,544,1
2026-04-30,HMRL-57,612,0
2026-04-30,HMRL-37,656,0
2026-04-30,HMRL-38,595,0
2026-04-30,HMRL-29,599,0
2026-04-30,HMRL-44,586,0
2026-04-30,HMRL-48,513,0
2026-04-30,HMRL-56,665,0
2026-04-30,HMRL-52,584,0
2026-04-30,HMRL-40,572,0
2026-04-30,HMRL-21,668,0
2026-04-30,HMRL-43,654,0
2026-04-30,HMRL-59,585,0
2026-04-30,HMRL-46,589,0
2026-04-30,HMRL-55,667,0
2026-04-30,HMRL-31,600,0
2026-04-30,HMRL-45,681,0
2026-04-30,HMRL-20,579,0
2026-04-30,HMRL-18,664,0
2026-04-30,HMRL-19,532,0
2026-04-30,HMRL-02,689,0
2026-04-30,HMRL-54,634,0
2026-04-30,HMRL-17,630,0
2026-04-30,HMRL-03,592,0
2026-04-30,HMRL-47,554,0
2026-04-30,HMRL-15,696,0
2026-04-30,HMRL-25,557,0
2026-04-30,HMRL-53,539,1
2026-04-30,HMRL-23,525,0
2026-04-30,HMRL-34,638,0
2026-04-30,HMRL-26,634,0
