Train_ID,Current_Mileage,Running_Hours,Last_Maintenance_Date,Fitness_Valid_Until,Brand_Contract,Status,health_score,year_of_manufacture
HMRL-01,202279,3677,2026-03-13,2026-08-05,No,Active,47.8,2019
HMRL-02,61501,1118,2026-03-26,2026-08-04,Yes,Active,59.2,2023
HMRL-03,137467,2499,2026-04-01,2027-01-28,No,Active,63.1,2021
HMRL-04,174482,3172,2026-04-25,2026-12-14,No,Active,85.9,2020
HMRL-05,272614,4956,2026-04-06,2026-07-09,Yes,Active,75.2,2017
HMRL-06,277628,5047,2026-04-03,2026-12-01,No,Active,43.6,2017
HMRL-07,308309,5605,2026-03-22,2026-07-31,No,Maintenance,74.9,2016
HMRL-08,107455,1953,2026-04-17,2026-09-18,Yes,Maintenance,64.2,2022
HMRL-09,174108,3165,2026-04-03,2026-12-21,No,Active,59.8,2020
HMRL-10,144857,2633,2026-02-09,2026-09-03,Yes,Active,79.2,2021
HMRL-11,351954,6399,2026-04-11,2026-06-06,Yes,Active,85.5,2015
HMRL-12,65329,1187,2026-04-06,2026-12-11,Yes,Active,84.0,2023
HMRL-13,107130,1947,2026-04-27,2026-06-18,No,Active,57.4,2022
HMRL-14,281641,5120,2026-03-11,2026-05-24,No,Active,65.4,2017
HMRL-15,276865,5033,2026-04-17,2027-01-30,Yes,Active,75.0,2017
HMRL-16,278748,5068,2026-03-03,2026-05-06,Yes,Active,84.6,2017
HMRL-17,237339,4315,2026-02-18,2026-06-15,No,Active,62.8,2018
HMRL-18,184960,3362,2026-04-16,2026-08-28,Yes,Active,67.2,2020
HMRL-19,205607,3738,2026-04-15,2026-07-23,Yes,Standby,53.4,2019
HMRL-20,252502,4590,2026-03-27,2026-11-23,No,Standby,52.1,2018
HMRL-21,173021,3145,2026-03-22,2027-01-02,No,Active,82.2,2020
HMRL-22,275354,5006,2026-04-05,2026-12-31,Yes,Active,90.3,2017
HMRL-23,250147,4548,2026-04-26,2026-08-16,No,Maintenance,68.9,2018
HMRL-24,212433,3862,2026-03-03,2026-11-20,No,Active,85.1,2019
HMRL-25,208845,3797,2026-04-28,2026-05-29,Yes,Maintenance,75.4,2019
HMRL-26,148250,2695,2026-03-17,2026-07-22,No,Active,60.3,2021
HMRL-27,277196,5039,2026-04-24,2026-11-09,Yes,Maintenance,75.4,2017
HMRL-28,175626,3193,2026-02-16,2026-04-30,No,Active,93.1,2020
HMRL-29,166832,3033,2026-03-14,2026-11-14,No,Active,69.5,2020
HMRL-30,347505,6318,2026-04-03,2026-09-11,No,Active,93.5,2015
HMRL-31,166051,3019,2026-04-23,2026-12-17,Yes,Active,30.7,2020
HMRL-32,280336,5097,2026-02-23,2026-09-22,No,Active,82.3,2017
HMRL-33,318145,5784,2026-02-16,2026-12-01,Yes,Maintenance,71.3,2016
HMRL-34,68773,1250,2026-02-06,2027-01-03,Yes,Active,65.5,2023
HMRL-35,62168,1130,2026-04-27,2026-07-17,Yes,Active,71.4,2023
HMRL-36,101913,1852,2026-03-30,2026-08-04,No,Active,40.2,2022
HMRL-37,253585,4610,2026-04-06,2026-09-27,No,Standby,66.7,2018
HMRL-38,315311,5732,2026-02-22,2026-08-18,Yes,Active,75.4,2016
HMRL-39,136967,2490,2026-04-28,2026-05-28,No,Active,92.2,2021
HMRL-40,216358,3933,2026-05-01,2027-01-31,Yes,Standby,62.2,2019
HMRL-41,317964,5781,2026-04-13,2026-05-30,No,Active,57.9,2016
HMRL-42,215035,3909,2026-04-20,2026-10-06,Yes,Active,62.5,2019
HMRL-43,344681,6266,2026-04-21,2026-05-28,No,Maintenance,83.7,2015
HMRL-44,103679,1885,2026-04-30,2026-05-24,Yes,Active,74.9,2022
HMRL-45,239575,4355,2026-03-01,2026-12-29,No,Standby,62.1,2018
HMRL-46,138081,2510,2026-04-28,2027-01-11,Yes,Active,77.7,2021
HMRL-47,253394,4607,2026-04-24,2027-01-25,Yes,Active,71.5,2018
HMRL-48,182661,3321,2026-04-29,2026-07-18,Yes,Active,84.5,2020
HMRL-49,173609,3156,2026-03-23,2026-05-28,No,Active,59.5,2020
HMRL-50,289155,5257,2026-04-05,2027-01-14,No,Active,65.1,2017
HMRL-51,74038,1346,2026-04-24,2026-06-09,Yes,Active,64.1,2023
HMRL-52,149121,2711,2026-03-10,2026-08-02,No,Maintenance,48.0,2021
HMRL-53,73087,1328,2026-04-21,2026-06-03,No,Active,74.4,2023
HMRL-54,106861,1942,2026-04-07,2026-06-02,No,Active,73.9,2022
HMRL-55,172186,3130,2026-03-24,2026-08-27,No,Maintenance,70.1,2020
HMRL-56,64532,1173,2026-03-30,2026-11-21,Yes,Active,66.5,2023
HMRL-57,321696,5849,2026-03-31,2026-06-29,Yes,Active,48.8,2016
HMRL-58,286171,5203,2026-04-25,2026-09-02,No,Active,63.7,2017
HMRL-59,342978,6235,2026-03-26,2026-05-19,No,Active,64.9,2015
HMRL-60,236543,4300,2026-03-07,2026-06-09,No,Standby,58.0,2018
